"case_id","clients","dimension","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","total_bytes","wrapper_elapsed_seconds","result_file"
"c50_d784_dgg32_s2026_r003","50","784","dgg32","2026","3","PASS","0","0","0","0","1934.18","106971072","2.082019","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2026_r003.json"
"c50_d784_dgg32_s2026_r004","50","784","dgg32","2026","4","PASS","0","0","0","0","2022.87","106971072","2.192418","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2026_r004.json"
"c50_d784_dgg32_s2026_r005","50","784","dgg32","2026","5","PASS","0","0","0","0","2026.74","106971072","2.178115","results/formal_v8/scalability/retry1/c50_d784_dgg32_s2026_r005.json"
"c5_d3072_dgg32_s2024_r001","5","3072","dgg32","2024","1","PASS","0","0","0","0","262.936","12584832","0.408506","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2024_r001.json"
"c5_d3072_dgg32_s2024_r002","5","3072","dgg32","2024","2","PASS","0","0","0","0","270.717","12584832","0.435829","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2024_r002.json"
"c5_d3072_dgg32_s2024_r003","5","3072","dgg32","2024","3","PASS","0","0","0","0","229.956","12584832","0.385867","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2024_r003.json"
"c5_d3072_dgg32_s2024_r004","5","3072","dgg32","2024","4","PASS","0","0","0","0","263.564","12584832","0.414288","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2024_r004.json"
"c5_d3072_dgg32_s2024_r005","5","3072","dgg32","2024","5","PASS","0","0","0","0","253.223","12584832","0.430712","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2024_r005.json"
"c5_d3072_dgg32_s2025_r001","5","3072","dgg32","2025","1","PASS","0","0","0","0","256.108","12584832","0.392728","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2025_r001.json"
"c5_d3072_dgg32_s2025_r002","5","3072","dgg32","2025","2","PASS","0","0","0","0","244.098","12584832","0.388434","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2025_r002.json"
"c5_d3072_dgg32_s2025_r003","5","3072","dgg32","2025","3","PASS","0","0","0","0","263.234","12584832","0.431104","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2025_r003.json"
"c5_d3072_dgg32_s2025_r004","5","3072","dgg32","2025","4","PASS","0","0","0","0","258.426","12584832","0.42544","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2025_r004.json"
"c5_d3072_dgg32_s2025_r005","5","3072","dgg32","2025","5","PASS","0","0","0","0","255.596","12584832","0.403924","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2025_r005.json"
"c5_d3072_dgg32_s2026_r001","5","3072","dgg32","2026","1","PASS","0","0","0","0","249.502","12584832","0.396229","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2026_r001.json"
"c5_d3072_dgg32_s2026_r002","5","3072","dgg32","2026","2","PASS","0","0","0","0","236.213","12584832","0.387433","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2026_r002.json"
"c5_d3072_dgg32_s2026_r003","5","3072","dgg32","2026","3","PASS","0","0","0","0","219.375","12584832","0.360844","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2026_r003.json"
"c5_d3072_dgg32_s2026_r004","5","3072","dgg32","2026","4","PASS","0","0","0","0","249.801","12584832","0.379645","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2026_r004.json"
"c5_d3072_dgg32_s2026_r005","5","3072","dgg32","2026","5","PASS","0","0","0","0","249.727","12584832","0.406834","results/formal_v8/scalability/retry1/c5_d3072_dgg32_s2026_r005.json"
"c10_d3072_dgg32_s2024_r001","10","3072","dgg32","2024","1","PASS","0","0","0","0","482.442","23072192","0.650755","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2024_r001.json"
"c10_d3072_dgg32_s2024_r002","10","3072","dgg32","2024","2","PASS","0","0","0","0","486.346","23072192","0.627978","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2024_r002.json"
"c10_d3072_dgg32_s2024_r003","10","3072","dgg32","2024","3","PASS","0","0","0","0","521.219","23072192","0.689554","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2024_r003.json"
"c10_d3072_dgg32_s2024_r004","10","3072","dgg32","2024","4","PASS","0","0","0","0","473.727","23072192","0.648006","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2024_r004.json"
"c10_d3072_dgg32_s2024_r005","10","3072","dgg32","2024","5","PASS","0","0","0","0","463.448","23072192","0.615034","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2024_r005.json"
"c10_d3072_dgg32_s2025_r001","10","3072","dgg32","2025","1","PASS","0","0","0","0","452.02","23072192","0.605133","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2025_r001.json"
"c10_d3072_dgg32_s2025_r002","10","3072","dgg32","2025","2","PASS","0","0","0","0","457.739","23072192","0.610869","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2025_r002.json"
"c10_d3072_dgg32_s2025_r003","10","3072","dgg32","2025","3","PASS","0","0","0","0","389.475","23072192","0.543117","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2025_r003.json"
"c10_d3072_dgg32_s2025_r004","10","3072","dgg32","2025","4","PASS","0","0","0","0","448.189","23072192","0.590516","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2025_r004.json"
"c10_d3072_dgg32_s2025_r005","10","3072","dgg32","2025","5","PASS","0","0","0","0","445.544","23072192","0.595918","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2025_r005.json"
"c10_d3072_dgg32_s2026_r001","10","3072","dgg32","2026","1","PASS","0","0","0","0","439.938","23072192","0.581695","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2026_r001.json"
"c10_d3072_dgg32_s2026_r002","10","3072","dgg32","2026","2","PASS","0","0","0","0","458.842","23072192","0.616586","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2026_r002.json"
"c10_d3072_dgg32_s2026_r003","10","3072","dgg32","2026","3","PASS","0","0","0","0","498.92","23072192","0.64972","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2026_r003.json"
"c10_d3072_dgg32_s2026_r004","10","3072","dgg32","2026","4","PASS","0","0","0","0","426.765","23072192","0.568011","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2026_r004.json"
"c10_d3072_dgg32_s2026_r005","10","3072","dgg32","2026","5","PASS","0","0","0","0","410.103","23072192","0.559305","results/formal_v8/scalability/retry1/c10_d3072_dgg32_s2026_r005.json"
"c20_d3072_dgg32_s2024_r001","20","3072","dgg32","2024","1","PASS","0","0","0","0","808.898","44046912","0.960813","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2024_r001.json"
"c20_d3072_dgg32_s2024_r002","20","3072","dgg32","2024","2","PASS","0","0","0","0","816.546","44046912","0.968425","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2024_r002.json"
"c20_d3072_dgg32_s2024_r003","20","3072","dgg32","2024","3","PASS","0","0","0","0","890.881","44046912","1.032256","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2024_r003.json"
"c20_d3072_dgg32_s2024_r004","20","3072","dgg32","2024","4","PASS","0","0","0","0","842.955","44046912","0.99357","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2024_r004.json"
"c20_d3072_dgg32_s2024_r005","20","3072","dgg32","2024","5","PASS","0","0","0","0","776.151","44046912","0.92311","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2024_r005.json"
"c20_d3072_dgg32_s2025_r001","20","3072","dgg32","2025","1","PASS","0","0","0","0","816.607","44046912","0.971504","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2025_r001.json"
"c20_d3072_dgg32_s2025_r002","20","3072","dgg32","2025","2","PASS","0","0","0","0","850.573","44046912","0.997416","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2025_r002.json"
"c20_d3072_dgg32_s2025_r003","20","3072","dgg32","2025","3","PASS","0","0","0","0","855.811","44046912","1.022006","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2025_r003.json"
"c20_d3072_dgg32_s2025_r004","20","3072","dgg32","2025","4","PASS","0","0","0","0","840.318","44046912","1.002133","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2025_r004.json"
"c20_d3072_dgg32_s2025_r005","20","3072","dgg32","2025","5","PASS","0","0","0","0","867.972","44046912","1.01762","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2025_r005.json"
"c20_d3072_dgg32_s2026_r001","20","3072","dgg32","2026","1","PASS","0","0","0","0","609.57","44046912","1.113429","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2026_r001.json"
"c20_d3072_dgg32_s2026_r002","20","3072","dgg32","2026","2","PASS","0","0","0","0","1182.85","44046912","1.542835","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2026_r002.json"
"c20_d3072_dgg32_s2026_r003","20","3072","dgg32","2026","3","PASS","0","0","0","0","1314.66","44046912","1.565219","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2026_r003.json"
"c20_d3072_dgg32_s2026_r004","20","3072","dgg32","2026","4","PASS","0","0","0","0","1440.46","44046912","1.747483","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2026_r004.json"
"c20_d3072_dgg32_s2026_r005","20","3072","dgg32","2026","5","PASS","0","0","0","0","1109.84","44046912","1.312244","results/formal_v8/scalability/retry1/c20_d3072_dgg32_s2026_r005.json"
"c30_d3072_dgg32_s2024_r001","30","3072","dgg32","2024","1","PASS","0","0","0","0","1441.42","65021632","1.634275","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2024_r001.json"
"c30_d3072_dgg32_s2024_r002","30","3072","dgg32","2024","2","PASS","0","0","0","0","1299.74","65021632","1.458696","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2024_r002.json"
"c30_d3072_dgg32_s2024_r003","30","3072","dgg32","2024","3","PASS","0","0","0","0","1203.21","65021632","1.363692","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2024_r003.json"
"c30_d3072_dgg32_s2024_r004","30","3072","dgg32","2024","4","PASS","0","0","0","0","1246.07","65021632","1.390427","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2024_r004.json"
"c30_d3072_dgg32_s2024_r005","30","3072","dgg32","2024","5","PASS","0","0","0","0","1247.07","65021632","1.392737","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2024_r005.json"
"c30_d3072_dgg32_s2025_r001","30","3072","dgg32","2025","1","PASS","0","0","0","0","1178.08","65021632","1.319084","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2025_r001.json"
"c30_d3072_dgg32_s2025_r002","30","3072","dgg32","2025","2","PASS","0","0","0","0","1259.73","65021632","1.402157","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2025_r002.json"
"c30_d3072_dgg32_s2025_r003","30","3072","dgg32","2025","3","PASS","0","0","0","0","1170.51","65021632","1.309296","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2025_r003.json"
"c30_d3072_dgg32_s2025_r004","30","3072","dgg32","2025","4","PASS","0","0","0","0","1151.01","65021632","1.286906","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2025_r004.json"
"c30_d3072_dgg32_s2025_r005","30","3072","dgg32","2025","5","PASS","0","0","0","0","1411.82","65021632","1.586694","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2025_r005.json"
"c30_d3072_dgg32_s2026_r001","30","3072","dgg32","2026","1","PASS","0","0","0","0","1304.23","65021632","1.466869","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2026_r001.json"
"c30_d3072_dgg32_s2026_r002","30","3072","dgg32","2026","2","PASS","0","0","0","0","1156.71","65021632","1.311353","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2026_r002.json"
"c30_d3072_dgg32_s2026_r003","30","3072","dgg32","2026","3","PASS","0","0","0","0","1222.98","65021632","1.366776","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2026_r003.json"
"c30_d3072_dgg32_s2026_r004","30","3072","dgg32","2026","4","PASS","0","0","0","0","1299.82","65021632","1.445745","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2026_r004.json"
"c30_d3072_dgg32_s2026_r005","30","3072","dgg32","2026","5","PASS","0","0","0","0","1217.87","65021632","1.353507","results/formal_v8/scalability/retry1/c30_d3072_dgg32_s2026_r005.json"
"c50_d3072_dgg32_s2024_r001","50","3072","dgg32","2024","1","PASS","0","0","0","0","2031.11","106971072","2.175964","results/formal_v8/scalability/retry1/c50_d3072_dgg32_s2024_r001.json"
"c50_d3072_dgg32_s2024_r002","50","3072","dgg32","2024","2","PASS","0","0","0","0","2372.25","106971072","2.56622","results/formal_v8/scalability/retry1/c50_d3072_dgg32_s2024_r002.json"
"c50_d3072_dgg32_s2024_r003","50","3072","dgg32","2024","3","PASS","0","0","0","0","2064.73","106971072","2.208492","results/formal_v8/scalability/retry1/c50_d3072_dgg32_s2024_r003.json"
"c50_d3072_dgg32_s2024_r004","50","3072","dgg32","2024","4","PASS","0","0","0","0","2128.48","106971072","2.297744","results/formal_v8/scalability/retry1/c50_d3072_dgg32_s2024_r004.json"
