"case_id","variant","clients","dimension","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","client_upload_bytes","path_to_cs_bytes","total_bytes","legacy_total_wire_bytes","wrapper_elapsed_seconds","result_file"
"shamir_shuffle_proxy_c20_d784_s2024_r002","shamir_shuffle_proxy","20","784","2024","2","PASS","0","0",,,"1.14769","251840","251840","503680",,"0.118616","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2024_r002.json"
"shamir_shuffle_proxy_c20_d784_s2024_r003","shamir_shuffle_proxy","20","784","2024","3","PASS","0","0",,,"1.21397","251840","251840","503680",,"0.129844","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2024_r003.json"
"shamir_shuffle_proxy_c20_d784_s2024_r004","shamir_shuffle_proxy","20","784","2024","4","PASS","0","0",,,"1.14293","251840","251840","503680",,"0.135091","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2024_r004.json"
"shamir_shuffle_proxy_c20_d784_s2024_r005","shamir_shuffle_proxy","20","784","2024","5","PASS","0","0",,,"1.20985","251840","251840","503680",,"0.12214","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2024_r005.json"
"shamir_shuffle_proxy_c20_d784_s2025_r001","shamir_shuffle_proxy","20","784","2025","1","PASS","0","0",,,"1.15146","251840","251840","503680",,"0.123616","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2025_r001.json"
"shamir_shuffle_proxy_c20_d784_s2025_r002","shamir_shuffle_proxy","20","784","2025","2","PASS","0","0",,,"1.18105","251840","251840","503680",,"0.121816","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2025_r002.json"
"shamir_shuffle_proxy_c20_d784_s2025_r003","shamir_shuffle_proxy","20","784","2025","3","PASS","0","0",,,"1.22008","251840","251840","503680",,"0.116543","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2025_r003.json"
"shamir_shuffle_proxy_c20_d784_s2025_r004","shamir_shuffle_proxy","20","784","2025","4","PASS","0","0",,,"1.27951","251840","251840","503680",,"0.114209","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2025_r004.json"
"shamir_shuffle_proxy_c20_d784_s2025_r005","shamir_shuffle_proxy","20","784","2025","5","PASS","0","0",,,"1.12883","251840","251840","503680",,"0.118614","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2025_r005.json"
"shamir_shuffle_proxy_c20_d784_s2026_r001","shamir_shuffle_proxy","20","784","2026","1","PASS","0","0",,,"1.69857","251840","251840","503680",,"0.115783","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2026_r001.json"
"shamir_shuffle_proxy_c20_d784_s2026_r002","shamir_shuffle_proxy","20","784","2026","2","PASS","0","0",,,"1.23158","251840","251840","503680",,"0.118163","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2026_r002.json"
"shamir_shuffle_proxy_c20_d784_s2026_r003","shamir_shuffle_proxy","20","784","2026","3","PASS","0","0",,,"1.15248","251840","251840","503680",,"0.115024","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2026_r003.json"
"shamir_shuffle_proxy_c20_d784_s2026_r004","shamir_shuffle_proxy","20","784","2026","4","PASS","0","0",,,"1.1689","251840","251840","503680",,"0.114638","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2026_r004.json"
"shamir_shuffle_proxy_c20_d784_s2026_r005","shamir_shuffle_proxy","20","784","2026","5","PASS","0","0",,,"1.22265","251840","251840","503680",,"0.175046","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c20_d784_s2026_r005.json"
"shamir_shuffle_proxy_c30_d784_s2024_r001","shamir_shuffle_proxy","30","784","2024","1","PASS","0","0",,,"1.7354","377760","377760","755520",,"0.117792","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2024_r001.json"
"shamir_shuffle_proxy_c30_d784_s2024_r002","shamir_shuffle_proxy","30","784","2024","2","PASS","0","0",,,"2.2416","377760","377760","755520",,"0.111403","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2024_r002.json"
"shamir_shuffle_proxy_c30_d784_s2024_r003","shamir_shuffle_proxy","30","784","2024","3","PASS","0","0",,,"1.7016","377760","377760","755520",,"0.108856","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2024_r003.json"
"shamir_shuffle_proxy_c30_d784_s2024_r004","shamir_shuffle_proxy","30","784","2024","4","PASS","0","0",,,"1.72626","377760","377760","755520",,"0.118461","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2024_r004.json"
"shamir_shuffle_proxy_c30_d784_s2024_r005","shamir_shuffle_proxy","30","784","2024","5","PASS","0","0",,,"1.79026","377760","377760","755520",,"0.12156","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2024_r005.json"
"shamir_shuffle_proxy_c30_d784_s2025_r001","shamir_shuffle_proxy","30","784","2025","1","PASS","0","0",,,"1.68836","377760","377760","755520",,"0.119848","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2025_r001.json"
"shamir_shuffle_proxy_c30_d784_s2025_r002","shamir_shuffle_proxy","30","784","2025","2","PASS","0","0",,,"1.82563","377760","377760","755520",,"0.1148","results/formal_v8/controlled_baselines/shamir_shuffle_proxy_c30_d784_s2025_r002.json"
